"McDonnell Douglas DC-8-62","156","14","0.08974358974358974"
"Douglas C-74","6","6","1.0"
"Boeing 247-D","10","10","1.0"
"Douglas C188-B","59","59","1.0"
"Tupolev TU-104B","25","25","1.0"
"Tupolev Tu-154","6","6","1.0"
"McDonnell Douglas DC-9-32","74","74","1.0"
"Boeing B-727-30","41","41","1.0"
"Tupolev TU-154B","179","174","0.9720670391061452"
"Boeing KC-135A","17","6","0.35294117647058826"
"Douglas DC-3","7","4","0.5714285714285714"
"Tupolev TU-104B","122","122","1.0"
"Boeing B-707-31","3","3","1.0"
"Boeing 314A","69","0","0.0"
"Douglas DC-3","28","14","0.5"
"Boeing Vetrol 107 II helicopter","6","6","1.0"
"Boeing 747-244B-SF","7","7","1.0"
"Douglas DC3-G102","15","15","1.0"
"Douglas DC-3","17","17","1.0"
"Boeing C-97A Stratofreighter","12","12","1.0"
"Douglas C-47A","20","20","1.0"
"Boeing 737-286","80","3","0.0375"
"Douglas DC-3C","3","3","1.0"
"Douglas DC-3","3","3","1.0"
"Boeing  377 Stratocruiser","31","0","0.0"
"Douglas DC-3","19","19","1.0"
"Douglas DC-3","13","13","1.0"
"Douglas C-47B","11","11","1.0"
"Douglas C-47A","29","28","0.9655172413793104"
"Douglas C-47B","7","2","0.2857142857142857"
"Tupolev TU-104A","80","80","1.0"
"Douglas C-47A","8","8","1.0"
"Douglas DC-3 / Piper PA-18A","19","19","1.0"
"Douglas C-47A","21","19","0.9047619047619048"
"Boeing B-707-338C","52","33","0.6346153846153846"
"Douglas DC-3C","4","4","1.0"
"Douglas M-4","1","1","1.0"
"Douglas C-47A","2","2","1.0"
"Boeing 307 Stratoliner B-1","13","13","1.0"
"Douglas C-46A-CU ( DC-3)","21","21","1.0"
"Douglas DC-3","3","3","1.0"
"Douglas DC-3","8","1","0.125"
"Tupolev TU-134A","44","34","0.7727272727272727"
"Boeing B-737-2A8","129","124","0.9612403100775194"
"Douglas C-47B-40-DK","4","4","1.0"
"Douglas C-47","31","31","1.0"
"Douglas C-47B","25","25","1.0"
"Douglas DC-3","37","1","0.02702702702702703"
"Douglas C-47A-25","19","19","1.0"
"Tupolev TU-134A","93","70","0.7526881720430108"
"Tupolev Tu-104A","3","3","1.0"
"Douglas C-47D","23","23","1.0"
"Boeing B-727-224","146","127","0.8698630136986302"
"Boeing 707-330C","6","6","1.0"
"Douglas DC-3","15","13","0.8666666666666667"
"Douglas C-47-DL","20","20","1.0"
"Douglas DC-3","12","12","1.0"
"Boeing B-707-323C","4","4","1.0"
"Boeing B-737-2L9","117","117","1.0"
"Douglas DC-3 / Lockheed B-34","13","12","0.9230769230769231"
"Douglas C-47B","14","14","1.0"
"Douglas C-47","31","31","1.0"
"Douglas DC-6","53","53","1.0"
"Douglas C-47A-DL","21","21","1.0"
"Douglas DC-3","16","16","1.0"
"Douglas DC-2-112","18","18","1.0"
"Tupolev TU-104B","11","11","1.0"
"Douglas C-47DL","32","32","1.0"
"Douglas DC-4A","18","18","1.0"
"Douglas DC-4-1009","44","44","1.0"
"Douglas C-47A-DL","19","1","0.05263157894736842"
"Boeing B-737-209","54","54","1.0"
"McDonnell Douglas MD-82","80","2","0.025"
"Douglas C-54A","5","2","0.4"
"Douglas C-47","29","27","0.9310344827586207"
"Douglas DC-3","21","21","1.0"
"Douglas C-54A-DC","12","12","1.0"
"Douglas DC-3","15","2","0.13333333333333333"
"Douglas DC-2","14","9","0.6428571428571429"
"Boeing KC-97G Stratofreighter","16","16","1.0"
"Douglas DC-6","19","19","1.0"
"Douglas DC-3","18","18","1.0"
"Douglas DC-3","37","1","0.02702702702702703"
"Boeing 737-2B7","105","96","0.9142857142857143"
"Boeing B-247-D","4","4","1.0"
"Douglas DC-3","15","14","0.9333333333333333"
"Douglas DC-3","20","20","1.0"
"Douglas DC-3","27","26","0.9629629629629629"
"McDonnell Douglas DC-9-32","120","75","0.625"
"Douglas C-47B","25","25","1.0"
"Boeing Vertol CH-47 (helicopter)","22","22","1.0"
"McDonnell Douglas DC-10-10","88","72","0.8181818181818182"
"Douglas C-47B","4","4","1.0"
"Boeing B-767-366ER","217","217","1.0"
"Boeing B-747-412","179","83","0.46368715083798884"
"Airbus A321-231","224","224","1.0"
"Boeing 247","3","3","1.0"
"Douglas DC-3","21","21","1.0"
"Tupolev TU-134","34","27","0.7941176470588235"
"Boeing B-747-230B","269","269","1.0"
"Tupolev Tu-154M","148","29","0.19594594594594594"
"Douglas DC-3","13","13","1.0"
"Douglas DC-3","9","9","1.0"
"Douglas C-124C Globemaster","19","19","1.0"
"Douglas C-47","35","35","1.0"
"Tupolev Tu-124","37","37","1.0"
"Tupolev TU-124","37","37","1.0"
"McDonnell Douglas MD-11","229","229","1.0"
"Douglas C-47","7","7","1.0"
"Douglas DC-3 (C-53D-DO)","22","22","1.0"
"Douglas DC-3","8","8","1.0"
"Tupolev TU-104A","86","86","1.0"
"Boeing B-737-241","54","13","0.24074074074074073"
"Tupolev TU-134","66","65","0.9848484848484849"
"Boeing B747-44AF","2","2","1.0"
"Douglas DC-3","26","20","0.7692307692307693"
"Douglas DC-3","23","16","0.6956521739130435"
"Douglas C-47","34","28","0.8235294117647058"
"Boeing B-727-193","111","111","1.0"
"Douglas DC-3 (C-47-A5-DL)","22","21","0.9545454545454546"
"Douglas DC-3","19","5","0.2631578947368421"
"Boeing B-747-121","384","16","0.041666666666666664"
